"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.00126317271314389,0.000419940896273824,3.00797737098756,0.00352678688292697
"mean.depth",2.21381381172439e-06,7.78880815293605e-07,2.84230111752063,0.00569729068073295
"log.precip",-8.05755659225575e-05,6.54120133298891e-05,-1.23181602003587,0.221671850486894
"log.SA",-2.42390917133728e-05,9.99438420733189e-06,-2.42527115333339,0.0175783638054811
"log.age",8.62795712803973e-05,2.48273265715233e-05,3.47518574067331,0.000832110153574002
"log.DIP",-5.50641042588723e-05,2.70676683015458e-05,-2.03431280616541,0.0452758260851401
